provider_id,provider_name,specialty,provider_state,total_claims,total_claim_amount,total_paid_amount,avg_claim_amount,denied_claims,approved_claims,denial_rate_percent,approval_rate_percent,gold_processed_timestamp
PR0003,Flowers-Sandoval,Oncology,FL,57,140824.34000000003,80332.68,2470.6024561403515,10,19,17.54,33.33,2026-06-01 02:32:21.673563
PR0018,Glover Inc,Neurology,CA,53,139530.95000000004,89020.87999999999,2632.6594339622648,19,5,35.85,9.43,2026-06-01 02:32:21.673563
PR0087,"Mckee, Sandoval and Lopez",Neurology,CA,51,139443.85000000003,106210.54,2734.1931372549025,14,9,27.45,17.65,2026-06-01 02:32:21.673563
PR0091,"Rogers, Hill and Lloyd",Radiology,TX,45,138985.93,89224.17,3088.576222222222,15,12,33.33,26.67,2026-06-01 02:32:21.673563
PR0097,"Barajas, Skinner and Hill",Radiology,TX,49,138651.1,133865.59000000003,2829.614285714286,13,13,26.53,26.53,2026-06-01 02:32:21.673563
PR0071,Randall-Harrison,Cardiology,AZ,56,137736.75,90042.97000000002,2459.5848214285716,12,15,21.43,26.79,2026-06-01 02:32:21.673563
PR0072,Cross Inc,Oncology,TX,52,137374.46,98659.36,2641.816538461538,15,12,28.85,23.08,2026-06-01 02:32:21.673563
PR0058,Maddox and Sons,Neurology,NY,52,137087.30999999994,80568.25,2636.2944230769217,12,15,23.08,28.85,2026-06-01 02:32:21.673563
PR0073,Mckenzie Inc,Oncology,GA,55,136870.9,91923.05999999998,2488.561818181818,20,14,36.36,25.45,2026-06-01 02:32:21.673563
PR0026,"Stewart, Moore and Parker",Orthopedics,IL,51,136676.16999999998,99477.66,2679.924901960784,9,17,17.65,33.33,2026-06-01 02:32:21.673563
PR0027,Mcclure Inc,Neurology,FL,53,136587.03,93186.44999999998,2577.1137735849056,14,12,26.42,22.64,2026-06-01 02:32:21.673563
PR0085,"Avery, Miller and Mendez",Dermatology,TX,49,136544.96000000002,63501.840000000004,2786.6318367346944,8,14,16.33,28.57,2026-06-01 02:32:21.673563
PR0088,Ramos-Collins,Orthopedics,AZ,54,136215.47,119835.26,2522.5087037037038,16,15,29.63,27.78,2026-06-01 02:32:21.673563
PR0025,Rodriguez and Sons,Neurology,FL,50,136017.8,84166.81000000001,2720.3559999999998,16,10,32.0,20.0,2026-06-01 02:32:21.673563
PR0064,"Pace, Thompson and Coffey",Oncology,CA,50,135705.58000000002,61661.479999999996,2714.1116,10,12,20.0,24.0,2026-06-01 02:32:21.673563
PR0028,Olsen Inc,Radiology,GA,54,135048.02,91466.75999999998,2500.8892592592592,16,10,29.63,18.52,2026-06-01 02:32:21.673563
PR0074,Thompson LLC,Dermatology,TX,48,131160.22999999998,81103.99,2732.5047916666663,15,9,31.25,18.75,2026-06-01 02:32:21.673563
PR0096,"Lee, Garza and Flores",Neurology,GA,54,130390.99999999999,91120.81999999999,2414.648148148148,15,11,27.78,20.37,2026-06-01 02:32:21.673563
PR0054,Small Inc,Primary Care,NY,53,130298.76,101701.92,2458.4671698113207,11,11,20.75,20.75,2026-06-01 02:32:21.673563
PR0030,Abbott PLC,Radiology,FL,45,130176.54999999997,99325.62999999999,2892.812222222222,12,14,26.67,31.11,2026-06-01 02:32:21.673563
PR0083,"Rodriguez, Steele and Ochoa",Oncology,TX,51,130102.65000000002,90990.54,2551.032352941177,10,12,19.61,23.53,2026-06-01 02:32:21.673563
PR0023,"Moore, Roberson and Boyer",Radiology,GA,50,129887.45999999999,121095.23999999999,2597.7491999999997,8,13,16.0,26.0,2026-06-01 02:32:21.673563
PR0050,Martin PLC,Primary Care,TX,53,129319.73000000001,83268.09999999998,2439.9949056603778,14,9,26.42,16.98,2026-06-01 02:32:21.673563
PR0062,Fischer Group,Orthopedics,FL,50,129079.02,81851.44,2581.5804000000003,15,13,30.0,26.0,2026-06-01 02:32:21.673563
PR0059,Harper-Potter,Primary Care,AZ,45,128956.94,73369.77,2865.7097777777776,16,10,35.56,22.22,2026-06-01 02:32:21.673563
PR0046,Moore-Bradley,Neurology,NY,52,128634.09000000003,83278.29,2473.7325000000005,13,16,25.0,30.77,2026-06-01 02:32:21.673563
PR0061,Wilson-Walker,Orthopedics,TX,51,128387.46,92074.54000000001,2517.4011764705883,11,11,21.57,21.57,2026-06-01 02:32:21.673563
PR0039,Ho PLC,Orthopedics,AZ,49,127667.95999999999,72629.70000000001,2605.468571428571,11,11,22.45,22.45,2026-06-01 02:32:21.673563
PR0069,Robinson Group,Neurology,NY,53,127333.67000000004,112952.64999999998,2402.522075471699,16,13,30.19,24.53,2026-06-01 02:32:21.673563
PR0066,Brown PLC,Neurology,CA,56,127188.04999999999,108335.92000000001,2271.215178571428,11,14,19.64,25.0,2026-06-01 02:32:21.673563
PR0033,Taylor-Morgan,Neurology,IL,53,125994.11000000002,84938.27,2377.2473584905665,8,15,15.09,28.3,2026-06-01 02:32:21.673563
PR0056,"Jones, Simpson and Gaines",Primary Care,FL,49,125930.08,85487.23,2570.0016326530613,7,17,14.29,34.69,2026-06-01 02:32:21.673563
PR0043,"Collins, Bishop and Green",Oncology,TX,46,124772.83,53081.64,2712.4528260869565,7,15,15.22,32.61,2026-06-01 02:32:21.673563
PR0065,Rowe and Sons,Oncology,GA,44,124674.61000000002,69616.71,2833.513863636364,14,7,31.82,15.91,2026-06-01 02:32:21.673563
PR0084,Duran PLC,Orthopedics,TX,49,124168.76000000001,123076.41999999998,2534.0563265306123,9,16,18.37,32.65,2026-06-01 02:32:21.673563
PR0052,Campos-Lee,Dermatology,CA,48,123286.66,92736.51999999999,2568.4720833333336,12,13,25.0,27.08,2026-06-01 02:32:21.673563
PR0036,Henderson Group,Dermatology,NY,55,122044.73999999999,129742.46999999999,2218.9952727272725,15,22,27.27,40.0,2026-06-01 02:32:21.673563
PR0051,"Perez, Garcia and Ramos",Dermatology,TX,56,121740.82999999993,86116.89000000003,2173.9433928571416,13,16,23.21,28.57,2026-06-01 02:32:21.673563
PR0098,Castillo PLC,Cardiology,GA,49,121636.18999999999,95114.21,2482.3712244897956,14,15,28.57,30.61,2026-06-01 02:32:21.673563
PR0078,Wise LLC,Primary Care,AZ,46,121612.28000000004,120473.16999999998,2643.7452173913052,10,12,21.74,26.09,2026-06-01 02:32:21.673563
PR0021,Nguyen LLC,Oncology,NY,47,121079.14,107271.70000000001,2576.1519148936172,12,14,25.53,29.79,2026-06-01 02:32:21.673563
PR0093,"Jacobs, Johnson and Cooper",Orthopedics,AZ,48,120713.9,95428.43999999999,2514.8729166666667,10,14,20.83,29.17,2026-06-01 02:32:21.673563
PR0049,Miller Ltd,Primary Care,AZ,45,120626.87999999998,79613.77,2680.5973333333327,9,14,20.0,31.11,2026-06-01 02:32:21.673563
PR0099,Scott Inc,Orthopedics,GA,54,120577.02,91118.42,2232.907777777778,11,13,20.37,24.07,2026-06-01 02:32:21.673563
PR0060,"Franco, Jensen and Bond",Dermatology,CA,52,120025.37000000002,88169.13000000002,2308.180192307693,7,16,13.46,30.77,2026-06-01 02:32:21.673563
PR0090,Duncan-Thompson,Radiology,IL,46,119659.29999999994,102237.11,2601.2891304347813,11,16,23.91,34.78,2026-06-01 02:32:21.673563
PR0001,Nichols Group,Cardiology,FL,52,119072.82999999999,76623.34,2289.862115384615,12,19,23.08,36.54,2026-06-01 02:32:21.673563
PR0002,"Jenkins, Wilkerson and Thomas",Orthopedics,NY,45,118888.39000000001,92690.91000000002,2641.9642222222224,12,8,26.67,17.78,2026-06-01 02:32:21.673563
PR0037,Cortez Inc,Dermatology,GA,46,118470.36,60293.54,2575.4426086956523,13,11,28.26,23.91,2026-06-01 02:32:21.673563
PR0057,Malone LLC,Dermatology,GA,45,118365.23999999999,66444.29000000001,2630.3386666666665,16,7,35.56,15.56,2026-06-01 02:32:21.673563
PR0032,"Copeland, Peterson and Rich",Primary Care,AZ,43,117572.06000000003,107286.91,2734.2339534883727,13,11,30.23,25.58,2026-06-01 02:32:21.673563
PR0079,"Franklin, Malone and George",Orthopedics,GA,46,116575.62000000001,83484.17,2534.2526086956523,14,11,30.43,23.91,2026-06-01 02:32:21.673563
PR0055,Williams LLC,Primary Care,FL,54,116266.76000000002,92127.93,2153.088148148149,14,14,25.93,25.93,2026-06-01 02:32:21.673563
PR0013,Anderson LLC,Oncology,TX,48,115914.03000000003,67937.22,2414.8756250000006,12,10,25.0,20.83,2026-06-01 02:32:21.673563
PR0014,Diaz-Duncan,Dermatology,TX,44,115492.33000000002,81239.38999999998,2624.825681818182,7,6,15.91,13.64,2026-06-01 02:32:21.673563
PR0094,Villarreal Group,Dermatology,IL,42,115334.05999999998,83013.87,2746.049047619047,10,12,23.81,28.57,2026-06-01 02:32:21.673563
PR0082,"Nelson, Sanchez and Peterson",Primary Care,TX,49,114588.83999999998,108214.78000000001,2338.5477551020404,7,14,14.29,28.57,2026-06-01 02:32:21.673563
PR0100,Barker-Curry,Dermatology,TX,45,114307.56000000003,86357.30000000002,2540.1680000000006,6,19,13.33,42.22,2026-06-01 02:32:21.673563
PR0081,"Bryant, Barber and Jones",Primary Care,FL,46,113764.75999999998,84129.37,2473.1469565217385,10,17,21.74,36.96,2026-06-01 02:32:21.673563
PR0048,Thompson Group,Orthopedics,AZ,47,113699.87999999998,89725.89,2419.146382978723,12,6,25.53,12.77,2026-06-01 02:32:21.673563
PR0009,Warren-Cook,Orthopedics,GA,47,110338.37999999996,83681.32999999999,2347.6251063829777,14,17,29.79,36.17,2026-06-01 02:32:21.673563
PR0038,Taylor LLC,Neurology,IL,42,109772.29000000002,71196.34,2613.625952380953,8,12,19.05,28.57,2026-06-01 02:32:21.673563
PR0016,Potts Inc,Dermatology,TX,42,109697.68,67834.73999999999,2611.849523809524,5,7,11.9,16.67,2026-06-01 02:32:21.673563
PR0040,"Reyes, May and Cox",Neurology,IL,43,109003.28000000001,57943.49000000001,2534.9600000000005,9,11,20.93,25.58,2026-06-01 02:32:21.673563
PR0006,Young-Wright,Neurology,FL,48,108292.14,86058.13,2256.08625,11,15,22.92,31.25,2026-06-01 02:32:21.673563
PR0019,Robertson Ltd,Oncology,NY,45,107949.61,70956.30000000002,2398.880222222222,8,12,17.78,26.67,2026-06-01 02:32:21.673563
PR0045,Olson-Nguyen,Neurology,GA,46,107356.79000000001,90476.67,2333.8432608695653,6,14,13.04,30.43,2026-06-01 02:32:21.673563
PR0008,"Johnson, Rivera and Palmer",Dermatology,GA,41,106204.97000000003,104735.23000000001,2590.3651219512203,11,10,26.83,24.39,2026-06-01 02:32:21.673563
PR0031,Adams Group,Cardiology,CA,47,105917.35000000003,70738.0,2253.560638297873,8,15,17.02,31.91,2026-06-01 02:32:21.673563
PR0053,"Smith, Mills and Johnson",Orthopedics,GA,41,105679.87999999998,66269.15999999999,2577.5580487804873,7,11,17.07,26.83,2026-06-01 02:32:21.673563
PR0035,Johnson and Sons,Radiology,AZ,42,105569.1,61277.75,2513.55,12,13,28.57,30.95,2026-06-01 02:32:21.673563
PR0034,"Yang, Liu and Luna",Neurology,AZ,43,104327.79999999997,84980.18999999999,2426.2279069767437,5,14,11.63,32.56,2026-06-01 02:32:21.673563
PR0080,"Cole, Clark and Hubbard",Oncology,GA,44,97823.91000000005,74797.94000000002,2223.2706818181828,17,8,38.64,18.18,2026-06-01 02:32:21.673563
PR0095,Gibson and Sons,Dermatology,AZ,35,97687.67000000001,47398.61000000001,2791.076285714286,6,6,17.14,17.14,2026-06-01 02:32:21.673563
PR0024,"Garrison, Francis and Fitzgerald",Cardiology,FL,38,96108.76000000005,72299.16,2529.1778947368434,11,6,28.95,15.79,2026-06-01 02:32:21.673563
PR0041,Cantrell Group,Radiology,GA,35,94803.43000000002,93212.02000000002,2708.6694285714293,7,8,20.0,22.86,2026-06-01 02:32:21.673563
PR0063,"Robertson, Coleman and Moore",Primary Care,CA,42,94081.73,78152.64,2240.0411904761904,8,10,19.05,23.81,2026-06-01 02:32:21.673563
PR0047,"Johnson, Hernandez and Cunningham",Primary Care,TX,36,90665.39000000001,75470.41,2518.483055555556,7,9,19.44,25.0,2026-06-01 02:32:21.673563
PR0067,"Ferguson, Park and Reyes",Orthopedics,TX,36,75583.87,64179.84,2099.5519444444444,15,10,41.67,27.78,2026-06-01 02:32:21.673563
