diagnosis_code,specialty,provider_state,denied_claims,denied_claim_amount,avg_denied_claim_amount,gold_processed_timestamp
R51,Oncology,FL,7,21410.89,3058.6985714285715,2026-05-27 19:18:37.032691
K21.9,Oncology,TX,7,12944.41,1849.2014285714286,2026-05-27 19:18:37.032691
M54.5,Orthopedics,NY,7,17353.129999999997,2479.0185714285712,2026-05-27 19:18:37.032691
J06.9,Orthopedics,NY,7,19249.25,2749.8928571428573,2026-05-27 19:18:37.032691
K21.9,Cardiology,NY,7,14204.37,2029.1957142857143,2026-05-27 19:18:37.032691
I10,Dermatology,GA,6,14413.71,2402.285,2026-05-27 19:18:37.032691
E11.9,Radiology,GA,6,18595.29,3099.215,2026-05-27 19:18:37.032691
M54.5,Primary Care,TX,6,13523.609999999999,2253.935,2026-05-27 19:18:37.032691
K21.9,Orthopedics,FL,6,13032.529999999999,2172.088333333333,2026-05-27 19:18:37.032691
E11.9,Dermatology,TX,6,11584.17,1930.695,2026-05-27 19:18:37.032691
J06.9,Radiology,CA,6,10620.86,1770.1433333333334,2026-05-27 19:18:37.032691
I10,Radiology,GA,6,15248.3,2541.383333333333,2026-05-27 19:18:37.032691
I10,Dermatology,IL,6,24697.230000000003,4116.205000000001,2026-05-27 19:18:37.032691
R51,Dermatology,TX,6,13896.98,2316.1633333333334,2026-05-27 19:18:37.032691
E11.9,Radiology,TX,6,15231.869999999999,2538.645,2026-05-27 19:18:37.032691
R51,Primary Care,FL,6,22736.36,3789.3933333333334,2026-05-27 19:18:37.032691
N39.0,Primary Care,NY,6,13964.75,2327.4583333333335,2026-05-27 19:18:37.032691
K21.9,Primary Care,NY,6,15904.65,2650.775,2026-05-27 19:18:37.032691
N39.0,Radiology,GA,6,12661.869999999999,2110.3116666666665,2026-05-27 19:18:37.032691
R51,Radiology,AZ,6,9257.49,1542.915,2026-05-27 19:18:37.032691
R51,Dermatology,IL,6,10965.44,1827.5733333333335,2026-05-27 19:18:37.032691
K21.9,Neurology,FL,6,16047.59,2674.5983333333334,2026-05-27 19:18:37.032691
J06.9,Dermatology,FL,6,10445.779999999999,1740.9633333333331,2026-05-27 19:18:37.032691
J06.9,Cardiology,IL,6,17222.0,2870.3333333333335,2026-05-27 19:18:37.032691
I10,Cardiology,IL,6,10121.84,1686.9733333333334,2026-05-27 19:18:37.032691
K21.9,Dermatology,IL,6,14774.339999999998,2462.39,2026-05-27 19:18:37.032691
N39.0,Dermatology,IL,6,12475.130000000001,2079.1883333333335,2026-05-27 19:18:37.032691
K21.9,Dermatology,TX,6,14734.97,2455.8283333333334,2026-05-27 19:18:37.032691
K21.9,Primary Care,CA,6,13386.59,2231.0983333333334,2026-05-27 19:18:37.032691
J06.9,Neurology,GA,6,15616.05,2602.6749999999997,2026-05-27 19:18:37.032691
I10,Primary Care,GA,6,12804.550000000001,2134.0916666666667,2026-05-27 19:18:37.032691
J06.9,Radiology,FL,5,9962.42,1992.484,2026-05-27 19:18:37.032691
K21.9,Primary Care,GA,5,12200.169999999998,2440.0339999999997,2026-05-27 19:18:37.032691
M54.5,Radiology,TX,5,15042.699999999999,3008.54,2026-05-27 19:18:37.032691
I10,Orthopedics,AZ,5,15913.439999999999,3182.6879999999996,2026-05-27 19:18:37.032691
E11.9,Neurology,GA,5,11373.82,2274.764,2026-05-27 19:18:37.032691
N39.0,Oncology,FL,5,12755.43,2551.0860000000002,2026-05-27 19:18:37.032691
E11.9,Primary Care,TX,5,10278.869999999999,2055.774,2026-05-27 19:18:37.032691
N39.0,Primary Care,IL,5,15119.22,3023.844,2026-05-27 19:18:37.032691
K21.9,Neurology,GA,5,12279.279999999999,2455.8559999999998,2026-05-27 19:18:37.032691
N39.0,Neurology,AZ,5,6888.14,1377.6280000000002,2026-05-27 19:18:37.032691
J06.9,Oncology,NY,5,9776.31,1955.262,2026-05-27 19:18:37.032691
N39.0,Radiology,AZ,5,14361.63,2872.326,2026-05-27 19:18:37.032691
E11.9,Dermatology,GA,5,15665.490000000002,3133.0980000000004,2026-05-27 19:18:37.032691
M54.5,Neurology,NY,5,9818.54,1963.708,2026-05-27 19:18:37.032691
N39.0,Neurology,NY,5,15177.18,3035.436,2026-05-27 19:18:37.032691
I10,Oncology,FL,5,12175.28,2435.056,2026-05-27 19:18:37.032691
R51,Orthopedics,NY,5,14333.73,2866.746,2026-05-27 19:18:37.032691
N39.0,Oncology,GA,5,12354.310000000001,2470.862,2026-05-27 19:18:37.032691
N39.0,Neurology,FL,5,10906.739999999998,2181.3479999999995,2026-05-27 19:18:37.032691
N39.0,Oncology,NY,5,16473.89,3294.778,2026-05-27 19:18:37.032691
E11.9,Primary Care,IL,5,20486.95,4097.39,2026-05-27 19:18:37.032691
M54.5,Primary Care,FL,5,12739.810000000001,2547.9620000000004,2026-05-27 19:18:37.032691
R51,Primary Care,TX,5,13935.289999999999,2787.058,2026-05-27 19:18:37.032691
N39.0,Dermatology,FL,5,13423.230000000001,2684.646,2026-05-27 19:18:37.032691
N39.0,Dermatology,GA,5,13839.53,2767.906,2026-05-27 19:18:37.032691
I10,Primary Care,CA,5,10749.46,2149.892,2026-05-27 19:18:37.032691
K21.9,Primary Care,TX,5,13902.92,2780.584,2026-05-27 19:18:37.032691
R51,Dermatology,GA,5,10440.86,2088.172,2026-05-27 19:18:37.032691
J06.9,Radiology,AZ,5,12809.419999999998,2561.8839999999996,2026-05-27 19:18:37.032691
M54.5,Dermatology,IL,5,7554.9400000000005,1510.988,2026-05-27 19:18:37.032691
R51,Cardiology,IL,5,10156.6,2031.3200000000002,2026-05-27 19:18:37.032691
E11.9,Orthopedics,NY,5,13806.169999999998,2761.2339999999995,2026-05-27 19:18:37.032691
K21.9,Neurology,AZ,4,14153.47,3538.3675,2026-05-27 19:18:37.032691
M54.5,Orthopedics,GA,4,11291.65,2822.9125,2026-05-27 19:18:37.032691
E11.9,Orthopedics,TX,4,6254.09,1563.5225,2026-05-27 19:18:37.032691
J06.9,Primary Care,TX,4,8625.55,2156.3875,2026-05-27 19:18:37.032691
K21.9,Oncology,NY,4,15000.339999999998,3750.0849999999996,2026-05-27 19:18:37.032691
I10,Radiology,FL,4,8889.59,2222.3975,2026-05-27 19:18:37.032691
E11.9,Primary Care,NY,4,8973.24,2243.31,2026-05-27 19:18:37.032691
M54.5,Dermatology,CA,4,11895.490000000002,2973.8725000000004,2026-05-27 19:18:37.032691
R51,Neurology,NY,4,12378.96,3094.74,2026-05-27 19:18:37.032691
J06.9,Dermatology,GA,4,7571.08,1892.77,2026-05-27 19:18:37.032691
R51,Radiology,CA,4,8027.75,2006.9375,2026-05-27 19:18:37.032691
J06.9,Orthopedics,TX,4,13190.82,3297.705,2026-05-27 19:18:37.032691
M54.5,Neurology,AZ,4,10562.63,2640.6575,2026-05-27 19:18:37.032691
J06.9,Primary Care,GA,4,9860.1,2465.025,2026-05-27 19:18:37.032691
M54.5,Orthopedics,TX,4,10022.42,2505.605,2026-05-27 19:18:37.032691
N39.0,Primary Care,FL,4,9308.130000000001,2327.0325000000003,2026-05-27 19:18:37.032691
N39.0,Oncology,AZ,4,8007.27,2001.8175,2026-05-27 19:18:37.032691
E11.9,Radiology,FL,4,12643.1,3160.775,2026-05-27 19:18:37.032691
M54.5,Dermatology,GA,4,12033.960000000001,3008.4900000000002,2026-05-27 19:18:37.032691
J06.9,Orthopedics,CA,4,9139.81,2284.9525,2026-05-27 19:18:37.032691
J06.9,Dermatology,TX,4,16402.41,4100.6025,2026-05-27 19:18:37.032691
I10,Dermatology,FL,4,8594.529999999999,2148.6324999999997,2026-05-27 19:18:37.032691
K21.9,Dermatology,FL,4,3778.87,944.7175,2026-05-27 19:18:37.032691
J06.9,Primary Care,IL,4,12120.630000000001,3030.1575000000003,2026-05-27 19:18:37.032691
M54.5,Dermatology,TX,4,5612.780000000001,1403.1950000000002,2026-05-27 19:18:37.032691
E11.9,Dermatology,FL,4,8256.63,2064.1575,2026-05-27 19:18:37.032691
K21.9,Radiology,FL,4,13104.490000000002,3276.1225000000004,2026-05-27 19:18:37.032691
E11.9,Oncology,CA,4,9101.76,2275.44,2026-05-27 19:18:37.032691
K21.9,Orthopedics,NY,4,7873.1900000000005,1968.2975000000001,2026-05-27 19:18:37.032691
M54.5,Radiology,CA,4,12411.759999999998,3102.9399999999996,2026-05-27 19:18:37.032691
I10,Orthopedics,NY,4,9427.94,2356.985,2026-05-27 19:18:37.032691
R51,Dermatology,FL,4,13190.380000000001,3297.5950000000003,2026-05-27 19:18:37.032691
N39.0,Primary Care,GA,4,9147.829999999998,2286.9574999999995,2026-05-27 19:18:37.032691
I10,Primary Care,NY,4,7781.79,1945.4475,2026-05-27 19:18:37.032691
E11.9,Cardiology,AZ,4,15709.359999999999,3927.3399999999997,2026-05-27 19:18:37.032691
M54.5,Primary Care,IL,4,10228.31,2557.0775,2026-05-27 19:18:37.032691
E11.9,Primary Care,GA,4,6440.489999999999,1610.1224999999997,2026-05-27 19:18:37.032691
J06.9,Neurology,AZ,4,14077.2,3519.3,2026-05-27 19:18:37.032691
J06.9,Oncology,TX,4,9102.380000000001,2275.5950000000003,2026-05-27 19:18:37.032691
N39.0,Oncology,TX,4,10075.03,2518.7575,2026-05-27 19:18:37.032691
R51,Primary Care,IL,4,11859.89,2964.9725,2026-05-27 19:18:37.032691
M54.5,Primary Care,GA,4,13336.73,3334.1825,2026-05-27 19:18:37.032691
J06.9,Oncology,CA,3,6637.83,2212.61,2026-05-27 19:18:37.032691
I10,Cardiology,AZ,3,9796.55,3265.5166666666664,2026-05-27 19:18:37.032691
R51,Cardiology,NY,3,10190.51,3396.8366666666666,2026-05-27 19:18:37.032691
R51,Orthopedics,CA,3,10197.619999999999,3399.2066666666665,2026-05-27 19:18:37.032691
R51,Orthopedics,TX,3,11094.04,3698.013333333334,2026-05-27 19:18:37.032691
I10,Radiology,NY,3,4988.8,1662.9333333333334,2026-05-27 19:18:37.032691
J06.9,Dermatology,CA,3,3678.05,1226.0166666666667,2026-05-27 19:18:37.032691
M54.5,Neurology,GA,3,4697.01,1565.67,2026-05-27 19:18:37.032691
R51,Neurology,GA,3,8855.529999999999,2951.843333333333,2026-05-27 19:18:37.032691
R51,Cardiology,TX,3,6727.82,2242.6066666666666,2026-05-27 19:18:37.032691
M54.5,Orthopedics,AZ,3,9199.300000000001,3066.433333333334,2026-05-27 19:18:37.032691
M54.5,Oncology,GA,3,3564.5699999999997,1188.1899999999998,2026-05-27 19:18:37.032691
J06.9,Oncology,FL,3,6886.03,2295.3433333333332,2026-05-27 19:18:37.032691
I10,Dermatology,CA,3,6097.87,2032.6233333333332,2026-05-27 19:18:37.032691
K21.9,Orthopedics,IL,3,8592.119999999999,2864.0399999999995,2026-05-27 19:18:37.032691
K21.9,Radiology,TX,3,6875.18,2291.726666666667,2026-05-27 19:18:37.032691
J06.9,Cardiology,TX,3,12041.81,4013.9366666666665,2026-05-27 19:18:37.032691
R51,Orthopedics,GA,3,9405.57,3135.19,2026-05-27 19:18:37.032691
I10,Primary Care,IL,3,9614.640000000001,3204.8800000000006,2026-05-27 19:18:37.032691
N39.0,Radiology,CA,3,9009.65,3003.2166666666667,2026-05-27 19:18:37.032691
R51,Primary Care,GA,3,9756.74,3252.2466666666664,2026-05-27 19:18:37.032691
E11.9,Radiology,CA,3,6564.39,2188.13,2026-05-27 19:18:37.032691
J06.9,Orthopedics,GA,3,6165.610000000001,2055.2033333333334,2026-05-27 19:18:37.032691
R51,Primary Care,NY,3,13648.15,4549.383333333333,2026-05-27 19:18:37.032691
K21.9,Cardiology,TX,3,11937.21,3979.0699999999997,2026-05-27 19:18:37.032691
R51,Neurology,AZ,3,10842.6,3614.2000000000003,2026-05-27 19:18:37.032691
I10,Oncology,CA,3,8348.0,2782.6666666666665,2026-05-27 19:18:37.032691
M54.5,Orthopedics,IL,3,6765.4400000000005,2255.146666666667,2026-05-27 19:18:37.032691
N39.0,Oncology,CA,3,9341.880000000001,3113.9600000000005,2026-05-27 19:18:37.032691
R51,Oncology,NY,3,5630.360000000001,1876.7866666666669,2026-05-27 19:18:37.032691
N39.0,Orthopedics,NY,3,6290.1900000000005,2096.73,2026-05-27 19:18:37.032691
M54.5,Oncology,NY,3,6664.280000000001,2221.4266666666667,2026-05-27 19:18:37.032691
K21.9,Neurology,NY,3,6431.780000000001,2143.9266666666667,2026-05-27 19:18:37.032691
M54.5,Dermatology,FL,3,6542.17,2180.7233333333334,2026-05-27 19:18:37.032691
E11.9,Orthopedics,IL,3,6111.71,2037.2366666666667,2026-05-27 19:18:37.032691
J06.9,Cardiology,AZ,3,8567.080000000002,2855.693333333334,2026-05-27 19:18:37.032691
M54.5,Oncology,AZ,3,6621.889999999999,2207.2966666666666,2026-05-27 19:18:37.032691
I10,Neurology,NY,3,8842.86,2947.6200000000003,2026-05-27 19:18:37.032691
M54.5,Primary Care,NY,3,9409.6,3136.5333333333333,2026-05-27 19:18:37.032691
E11.9,Neurology,NY,3,9687.77,3229.2566666666667,2026-05-27 19:18:37.032691
M54.5,Cardiology,CA,3,9138.619999999999,3046.2066666666665,2026-05-27 19:18:37.032691
M54.5,Oncology,IL,3,4184.95,1394.9833333333333,2026-05-27 19:18:37.032691
R51,Radiology,TX,3,7820.31,2606.77,2026-05-27 19:18:37.032691
E11.9,Cardiology,CA,3,9447.96,3149.3199999999997,2026-05-27 19:18:37.032691
I10,Oncology,TX,3,7829.3099999999995,2609.77,2026-05-27 19:18:37.032691
J06.9,Primary Care,NY,3,5520.72,1840.24,2026-05-27 19:18:37.032691
R51,Oncology,GA,3,8481.38,2827.1266666666666,2026-05-27 19:18:37.032691
J06.9,Neurology,TX,2,4462.25,2231.125,2026-05-27 19:18:37.032691
E11.9,Primary Care,FL,2,3261.52,1630.76,2026-05-27 19:18:37.032691
K21.9,Orthopedics,CA,2,3513.63,1756.815,2026-05-27 19:18:37.032691
E11.9,Oncology,TX,2,7672.639999999999,3836.3199999999997,2026-05-27 19:18:37.032691
J06.9,Orthopedics,IL,2,3789.72,1894.86,2026-05-27 19:18:37.032691
E11.9,Oncology,AZ,2,3292.83,1646.415,2026-05-27 19:18:37.032691
K21.9,Radiology,NY,2,4294.44,2147.22,2026-05-27 19:18:37.032691
I10,Neurology,AZ,2,4421.639999999999,2210.8199999999997,2026-05-27 19:18:37.032691
J06.9,Oncology,IL,2,2112.1,1056.05,2026-05-27 19:18:37.032691
R51,Cardiology,AZ,2,4698.360000000001,2349.1800000000003,2026-05-27 19:18:37.032691
R51,Orthopedics,AZ,2,4736.95,2368.475,2026-05-27 19:18:37.032691
N39.0,Neurology,TX,2,7155.59,3577.795,2026-05-27 19:18:37.032691
E11.9,Orthopedics,CA,2,3704.9300000000003,1852.4650000000001,2026-05-27 19:18:37.032691
R51,Orthopedics,IL,2,5883.110000000001,2941.5550000000003,2026-05-27 19:18:37.032691
M54.5,Orthopedics,CA,2,9266.310000000001,4633.155000000001,2026-05-27 19:18:37.032691
K21.9,Orthopedics,AZ,2,4659.13,2329.565,2026-05-27 19:18:37.032691
R51,Neurology,TX,2,3753.92,1876.96,2026-05-27 19:18:37.032691
K21.9,Dermatology,CA,2,5638.76,2819.38,2026-05-27 19:18:37.032691
N39.0,Cardiology,AZ,2,5600.35,2800.175,2026-05-27 19:18:37.032691
N39.0,Orthopedics,AZ,2,5844.74,2922.37,2026-05-27 19:18:37.032691
N39.0,Primary Care,TX,2,3892.79,1946.395,2026-05-27 19:18:37.032691
E11.9,Cardiology,TX,2,5597.21,2798.605,2026-05-27 19:18:37.032691
N39.0,Dermatology,NY,2,4443.93,2221.965,2026-05-27 19:18:37.032691
E11.9,Orthopedics,AZ,2,2977.3,1488.65,2026-05-27 19:18:37.032691
I10,Dermatology,TX,2,5144.57,2572.285,2026-05-27 19:18:37.032691
E11.9,Radiology,NY,2,7069.01,3534.505,2026-05-27 19:18:37.032691
K21.9,Cardiology,AZ,2,2951.51,1475.755,2026-05-27 19:18:37.032691
M54.5,Radiology,AZ,2,4642.22,2321.11,2026-05-27 19:18:37.032691
M54.5,Cardiology,TX,2,4102.5,2051.25,2026-05-27 19:18:37.032691
I10,Cardiology,NY,2,5482.45,2741.225,2026-05-27 19:18:37.032691
I10,Oncology,AZ,2,3249.11,1624.555,2026-05-27 19:18:37.032691
K21.9,Oncology,GA,2,4392.52,2196.26,2026-05-27 19:18:37.032691
E11.9,Dermatology,CA,2,5599.42,2799.71,2026-05-27 19:18:37.032691
N39.0,Dermatology,CA,2,5303.01,2651.505,2026-05-27 19:18:37.032691
K21.9,Neurology,TX,2,7407.8099999999995,3703.9049999999997,2026-05-27 19:18:37.032691
J06.9,Oncology,AZ,2,5779.72,2889.86,2026-05-27 19:18:37.032691
J06.9,Orthopedics,AZ,2,3594.57,1797.285,2026-05-27 19:18:37.032691
J06.9,Oncology,GA,2,1616.28,808.14,2026-05-27 19:18:37.032691
E11.9,Neurology,AZ,2,8842.39,4421.195,2026-05-27 19:18:37.032691
E11.9,Orthopedics,GA,2,7851.629999999999,3925.8149999999996,2026-05-27 19:18:37.032691
M54.5,Neurology,TX,2,2422.89,1211.445,2026-05-27 19:18:37.032691
I10,Orthopedics,IL,2,3837.71,1918.855,2026-05-27 19:18:37.032691
K21.9,Dermatology,GA,2,7419.530000000001,3709.7650000000003,2026-05-27 19:18:37.032691
J06.9,Primary Care,FL,2,5616.32,2808.16,2026-05-27 19:18:37.032691
N39.0,Dermatology,TX,1,898.84,898.84,2026-05-27 19:18:37.032691
E11.9,Neurology,TX,1,1919.45,1919.45,2026-05-27 19:18:37.032691
J06.9,Cardiology,NY,1,947.37,947.37,2026-05-27 19:18:37.032691
N39.0,Cardiology,NY,1,1758.34,1758.34,2026-05-27 19:18:37.032691
I10,Neurology,TX,1,3737.34,3737.34,2026-05-27 19:18:37.032691
R51,Oncology,IL,1,834.59,834.59,2026-05-27 19:18:37.032691
J06.9,Neurology,NY,1,944.51,944.51,2026-05-27 19:18:37.032691
J06.9,Primary Care,CA,1,3158.92,3158.92,2026-05-27 19:18:37.032691
K21.9,Orthopedics,TX,1,751.31,751.31,2026-05-27 19:18:37.032691
M54.5,Radiology,GA,1,2465.31,2465.31,2026-05-27 19:18:37.032691
I10,Oncology,GA,1,3166.4,3166.4,2026-05-27 19:18:37.032691
K21.9,Orthopedics,GA,1,3528.94,3528.94,2026-05-27 19:18:37.032691
R51,Radiology,FL,1,4800.02,4800.02,2026-05-27 19:18:37.032691
K21.9,Oncology,AZ,1,3262.82,3262.82,2026-05-27 19:18:37.032691
I10,Orthopedics,CA,1,604.61,604.61,2026-05-27 19:18:37.032691
K21.9,Oncology,IL,1,4109.03,4109.03,2026-05-27 19:18:37.032691
R51,Oncology,TX,1,4617.69,4617.69,2026-05-27 19:18:37.032691
E11.9,Cardiology,NY,1,3123.4,3123.4,2026-05-27 19:18:37.032691
R51,Oncology,CA,1,3165.17,3165.17,2026-05-27 19:18:37.032691
M54.5,Radiology,NY,1,3960.92,3960.92,2026-05-27 19:18:37.032691
N39.0,Cardiology,TX,1,1953.1,1953.1,2026-05-27 19:18:37.032691
K21.9,Radiology,CA,1,444.62,444.62,2026-05-27 19:18:37.032691
K21.9,Cardiology,CA,1,727.2,727.2,2026-05-27 19:18:37.032691
I10,Primary Care,TX,1,4326.86,4326.86,2026-05-27 19:18:37.032691
I10,Cardiology,CA,1,342.79,342.79,2026-05-27 19:18:37.032691
I10,Cardiology,TX,1,570.39,570.39,2026-05-27 19:18:37.032691
I10,Radiology,CA,1,119.64,119.64,2026-05-27 19:18:37.032691
M54.5,Cardiology,NY,1,3967.74,3967.74,2026-05-27 19:18:37.032691
N39.0,Radiology,FL,1,2288.06,2288.06,2026-05-27 19:18:37.032691
K21.9,Primary Care,FL,1,4100.0,4100.0,2026-05-27 19:18:37.032691
I10,Oncology,IL,1,4021.04,4021.04,2026-05-27 19:18:37.032691
