provider_id,provider_name,specialty,state,npi
PR0036,Henderson Group,Dermatology,NY,3656810632
PR0037,Cortez Inc,Dermatology,GA,5589819314
PR0038,Taylor LLC,Neurology,IL,3449574047
PR0039,Ho PLC,Orthopedics,AZ,6160247689
PR0040,"Reyes, May and Cox",Neurology,IL,6255879660
PR0041,Cantrell Group,Radiology,GA,7306732666
PR0042,Miller-Castillo,Primary Care,CA,7662561015
PR0043,"Collins, Bishop and Green",Oncology,TX,0169373110
PR0044,Miller Inc,Oncology,FL,1970553382
PR0045,Olson-Nguyen,Neurology,GA,1233016317
PR0046,Moore-Bradley,Neurology,NY,6198570325
PR0047,"Johnson, Hernandez and Cunningham",Primary Care,TX,8263123590
PR0048,Thompson Group,Orthopedics,AZ,1673822772
PR0049,Miller Ltd,Primary Care,AZ,9508962784
PR0050,Martin PLC,Primary Care,TX,0936458347
PR0051,"Perez, Garcia and Ramos",Dermatology,TX,8648006090
PR0052,Campos-Lee,Dermatology,CA,5277595234
PR0053,"Smith, Mills and Johnson",Orthopedics,GA,7207293665
PR0054,Small Inc,Primary Care,NY,7357620473
PR0055,Williams LLC,Primary Care,FL,0590040279
PR0056,"Jones, Simpson and Gaines",Primary Care,FL,6000400336
PR0057,Malone LLC,Dermatology,GA,1587030928
PR0058,Maddox and Sons,Neurology,NY,6169682219
PR0059,Harper-Potter,Primary Care,AZ,1734909264
PR0060,"Franco, Jensen and Bond",Dermatology,CA,5208443345
PR0061,Wilson-Walker,Orthopedics,TX,0529431160
PR0062,Fischer Group,Orthopedics,FL,7007505956
PR0063,"Robertson, Coleman and Moore",Primary Care,CA,6239017189
PR0064,"Pace, Thompson and Coffey",Oncology,CA,9004631258
PR0065,Rowe and Sons,Oncology,GA,8287523868
PR0066,Brown PLC,Neurology,CA,1073661119
PR0067,"Ferguson, Park and Reyes",Orthopedics,TX,2523036241
PR0068,Matthews and Sons,Neurology,TX,7534216858
PR0069,Robinson Group,Neurology,NY,5836269165
PR0070,"Campbell, Davis and Gould",Primary Care,CA,1714048520
PR0071,Randall-Harrison,Cardiology,AZ,0977291526
PR0072,Cross Inc,Oncology,TX,6089830343
PR0073,Mckenzie Inc,Oncology,GA,7890954579
PR0074,Thompson LLC,Dermatology,TX,4621629151
PR0075,"Holland, Fowler and Zimmerman",Radiology,NY,9215131268
PR0076,Johnston Ltd,Primary Care,FL,8828235782
PR0077,Boyd and Sons,Orthopedics,TX,4250599025
PR0078,Wise LLC,Primary Care,AZ,3148848999
PR0079,"Franklin, Malone and George",Orthopedics,GA,9030234256
PR0080,"Cole, Clark and Hubbard",Oncology,GA,8656173337
PR0081,"Bryant, Barber and Jones",Primary Care,FL,3001342983
PR0082,"Nelson, Sanchez and Peterson",Primary Care,TX,9229932630
PR0083,"Rodriguez, Steele and Ochoa",Oncology,TX,8599796218
PR0084,Duran PLC,Orthopedics,TX,1360777648
PR0085,"Avery, Miller and Mendez",Dermatology,TX,5663981330
PR0086,Strickland-Alvarez,Cardiology,FL,1413089195
PR0087,"Mckee, Sandoval and Lopez",Neurology,CA,5168982722
PR0088,Ramos-Collins,Orthopedics,AZ,4152315776
PR0089,Molina-Martinez,Radiology,FL,7027523063
PR0090,Duncan-Thompson,Radiology,IL,1882337486
PR0091,"Rogers, Hill and Lloyd",Radiology,TX,7284784515
PR0092,Gonzalez-Graves,Primary Care,FL,7107388783
PR0093,"Jacobs, Johnson and Cooper",Orthopedics,AZ,6506498409
PR0094,Villarreal Group,Dermatology,IL,6052733768
PR0095,Gibson and Sons,Dermatology,AZ,7333471807
PR0096,"Lee, Garza and Flores",Neurology,GA,7027573551
PR0097,"Barajas, Skinner and Hill",Radiology,TX,4554894002
PR0098,Castillo PLC,Cardiology,GA,7669746536
PR0099,Scott Inc,Orthopedics,GA,9493725934
PR0100,Barker-Curry,Dermatology,TX,2485788227
