provider_id,provider_name,specialty,state,npi,ingestion_timestamp,source_system,source_file_name,bronze_table_name
PR0014,Diaz-Duncan,Dermatology,TX,2387541848,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0015,Strickland-Valdez,Primary Care,AZ,757584074,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0016,Potts Inc,Dermatology,TX,2603785267,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0017,Hoffman Ltd,Oncology,CA,9713449353,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0018,Glover Inc,Neurology,CA,2725245603,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0019,Robertson Ltd,Oncology,NY,2934321368,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0020,Smith-Schultz,Oncology,IL,6966513760,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0021,Nguyen LLC,Oncology,NY,6635119680,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0022,"Gordon, Stewart and Miller",Neurology,AZ,3598039622,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0023,"Moore, Roberson and Boyer",Radiology,GA,9785219002,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0024,"Garrison, Francis and Fitzgerald",Cardiology,FL,4520124202,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0025,Rodriguez and Sons,Neurology,FL,9792953377,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0026,"Stewart, Moore and Parker",Orthopedics,IL,6289464045,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0027,Mcclure Inc,Neurology,FL,7207387557,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0028,Olsen Inc,Radiology,GA,2910691565,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0029,"Ortega, Moore and Duffy",Dermatology,NY,28280352,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0030,Abbott PLC,Radiology,FL,5535268870,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0031,Adams Group,Cardiology,CA,264517862,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0032,"Copeland, Peterson and Rich",Primary Care,AZ,5062758447,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0033,Taylor-Morgan,Neurology,IL,6174427361,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0034,"Yang, Liu and Luna",Neurology,AZ,486119543,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0035,Johnson and Sons,Radiology,AZ,6509821903,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0036,Henderson Group,Dermatology,NY,3656810632,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0037,Cortez Inc,Dermatology,GA,5589819314,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0038,Taylor LLC,Neurology,IL,3449574047,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0039,Ho PLC,Orthopedics,AZ,6160247689,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0040,"Reyes, May and Cox",Neurology,IL,6255879660,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0041,Cantrell Group,Radiology,GA,7306732666,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0042,Miller-Castillo,Primary Care,CA,7662561015,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0043,"Collins, Bishop and Green",Oncology,TX,169373110,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0044,Miller Inc,Oncology,FL,1970553382,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0045,Olson-Nguyen,Neurology,GA,1233016317,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0046,Moore-Bradley,Neurology,NY,6198570325,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0047,"Johnson, Hernandez and Cunningham",Primary Care,TX,8263123590,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0048,Thompson Group,Orthopedics,AZ,1673822772,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0049,Miller Ltd,Primary Care,AZ,9508962784,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0050,Martin PLC,Primary Care,TX,936458347,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0051,"Perez, Garcia and Ramos",Dermatology,TX,8648006090,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0052,Campos-Lee,Dermatology,CA,5277595234,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0053,"Smith, Mills and Johnson",Orthopedics,GA,7207293665,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0054,Small Inc,Primary Care,NY,7357620473,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0055,Williams LLC,Primary Care,FL,590040279,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0056,"Jones, Simpson and Gaines",Primary Care,FL,6000400336,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0057,Malone LLC,Dermatology,GA,1587030928,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0058,Maddox and Sons,Neurology,NY,6169682219,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0059,Harper-Potter,Primary Care,AZ,1734909264,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0060,"Franco, Jensen and Bond",Dermatology,CA,5208443345,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0061,Wilson-Walker,Orthopedics,TX,529431160,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0062,Fischer Group,Orthopedics,FL,7007505956,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0063,"Robertson, Coleman and Moore",Primary Care,CA,6239017189,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0064,"Pace, Thompson and Coffey",Oncology,CA,9004631258,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0065,Rowe and Sons,Oncology,GA,8287523868,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0066,Brown PLC,Neurology,CA,1073661119,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0067,"Ferguson, Park and Reyes",Orthopedics,TX,2523036241,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0068,Matthews and Sons,Neurology,TX,7534216858,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0069,Robinson Group,Neurology,NY,5836269165,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0070,"Campbell, Davis and Gould",Primary Care,CA,1714048520,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0071,Randall-Harrison,Cardiology,AZ,977291526,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0072,Cross Inc,Oncology,TX,6089830343,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0073,Mckenzie Inc,Oncology,GA,7890954579,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0074,Thompson LLC,Dermatology,TX,4621629151,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0075,"Holland, Fowler and Zimmerman",Radiology,NY,9215131268,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0076,Johnston Ltd,Primary Care,FL,8828235782,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0077,Boyd and Sons,Orthopedics,TX,4250599025,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0078,Wise LLC,Primary Care,AZ,3148848999,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0079,"Franklin, Malone and George",Orthopedics,GA,9030234256,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0080,"Cole, Clark and Hubbard",Oncology,GA,8656173337,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0081,"Bryant, Barber and Jones",Primary Care,FL,3001342983,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0082,"Nelson, Sanchez and Peterson",Primary Care,TX,9229932630,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0083,"Rodriguez, Steele and Ochoa",Oncology,TX,8599796218,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0084,Duran PLC,Orthopedics,TX,1360777648,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0085,"Avery, Miller and Mendez",Dermatology,TX,5663981330,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0086,Strickland-Alvarez,Cardiology,FL,1413089195,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0087,"Mckee, Sandoval and Lopez",Neurology,CA,5168982722,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0088,Ramos-Collins,Orthopedics,AZ,4152315776,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0089,Molina-Martinez,Radiology,FL,7027523063,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0090,Duncan-Thompson,Radiology,IL,1882337486,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0091,"Rogers, Hill and Lloyd",Radiology,TX,7284784515,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0092,Gonzalez-Graves,Primary Care,FL,7107388783,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0093,"Jacobs, Johnson and Cooper",Orthopedics,AZ,6506498409,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0094,Villarreal Group,Dermatology,IL,6052733768,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0095,Gibson and Sons,Dermatology,AZ,7333471807,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0096,"Lee, Garza and Flores",Neurology,GA,7027573551,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0097,"Barajas, Skinner and Hill",Radiology,TX,4554894002,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0098,Castillo PLC,Cardiology,GA,7669746536,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0099,Scott Inc,Orthopedics,GA,9493725934,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0100,Barker-Curry,Dermatology,TX,2485788227,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
